Michael Ansley,3,1990,1992,149,2143,383,746,0,0,260,360,311,621,67,51,24,85,284,1026,.513,,.722,14.4,6.9,4.2,0.4,0.3,0.2,"Feb 8, 1967",Birmingham
Keith Askins,9,1991,1999,486,7983,677,1688,275,774,223,311,525,1428,375,278,170,321,1094,1852,.401,.355,.717,16.4,3.8,2.9,0.8,0.6,0.3,"Dec 15, 1967",Athens
Carl Bailey,1,1982,1982,1,7,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1.000,,,7.0,2.0,0.0,0.0,0.0,0.0,"Apr 23, 1958",Birmingham
Charles Barkley*,16,1985,2000,1073,39330,8435,15605,538,2020,6349,8643,4260,12546,4215,1648,888,3376,3287,23757,.541,.266,.735,36.7,22.1,11.7,3.9,1.5,0.8,"Feb 20, 1963",Leeds
Eric Bledsoe,12,2011,2022,756,21021,3689,8169,854,2545,2116,2698,570,2937,3545,1028,344,1888,1493,10348,.452,.336,.784,27.8,13.7,3.9,4.7,1.4,0.5,"Dec 9, 1989",Birmingham
Tom Boswell,6,1976,1984,366,7046,1096,2058,6,11,623,860,676,1709,591,142,111,474,1102,2821,.533,,.724,19.3,7.7,4.7,1.6,0.4,0.3,"Oct 2, 1953",Montgomery
Kobe Brown,1,2024,2024,44,394,37,90,14,48,1,2,20,62,25,12,6,9,49,89,.411,.292,.500,9.0,2.0,1.4,0.6,0.3,0.1,"Jan 1, 2000",Huntsville
David Bustion,1,1973,1973,47,355,58,133,0,0,42,59,39,101,21,,,54,82,158,.436,,.712,7.6,3.4,2.1,0.4,,,"Aug 30, 1949",Gadsden
Al Butler,4,1962,1965,234,5055,930,2119,,,422,571,,696,530,,,,493,2282,.439,,.739,21.6,9.8,3.0,2.3,,,"Jul 9, 1938",Birmingham
Jason Caffey,8,1996,2003,462,9045,1276,2652,0,8,816,1282,841,2022,420,209,110,647,1148,3368,.481,.000,.637,19.6,7.3,4.4,0.9,0.5,0.2,"Jun 12, 1973",Mobile
DeMarre Carroll,11,2010,2020,578,13675,1806,4204,658,1839,880,1188,655,2454,726,524,151,498,1127,5150,.430,.358,.741,23.7,8.9,4.2,1.3,0.9,0.3,"Jul 27, 1986",Birmingham
Bobby Cattage,2,1982,1986,78,522,88,218,1,7,65,85,37,107,11,13,0,31,81,242,.404,.143,.765,6.7,3.1,1.4,0.1,0.2,0.0,"Aug 17, 1958",Huntsville
Derrick Coleman,15,1991,2005,781,25903,4616,10335,326,1105,3326,4326,2079,7232,1985,606,1051,2036,2062,12884,.447,.295,.769,33.2,16.5,9.3,2.5,0.8,1.3,"Jun 21, 1967",Mobile
DeMarcus Cousins,11,2011,2022,654,19509,4562,9924,426,1288,3252,4411,1692,6664,1979,874,742,2149,2421,12802,.460,.331,.737,29.8,19.6,10.2,3.0,1.3,1.1,"Aug 13, 1990",Mobile
Michael Curry,11,1994,2005,667,13208,1094,2448,79,265,719,872,198,1045,804,333,66,459,1523,2986,.447,.298,.825,19.8,4.5,1.6,1.2,0.5,0.1,"Aug 22, 1968",Anniston
JD Davison,2,2023,2024,20,105,13,31,5,14,4,6,4,19,21,3,3,6,9,35,.419,.357,.667,5.3,1.8,1.0,1.1,0.2,0.2,"Oct 3, 2002",Montgomery
Fennis Dembo,1,1989,1989,31,74,14,42,0,4,8,10,8,23,5,1,0,7,15,36,.333,.000,.800,2.4,1.2,0.7,0.2,0.0,0.0,"Jan 24, 1966",Mobile
John Douglas,2,1982,1983,67,1043,182,395,19,61,69,104,27,91,147,48,9,92,147,452,.461,.311,.663,15.6,6.7,1.4,2.2,0.7,0.1,"Jun 12, 1956",Town Creek
Leon Douglas,7,1977,1983,456,10111,1386,2798,0,4,815,1355,1045,2954,479,210,325,660,1631,3587,.495,,.601,22.2,7.9,6.5,1.1,0.5,0.7,"Aug 26, 1954",Leighton
John Drew,11,1975,1985,739,21828,5481,11658,10,57,4319,5774,2158,5088,1224,1004,193,1402,2641,15291,.470,,.748,29.5,20.7,6.9,1.7,1.4,0.3,"Sep 30, 1954",Vredenburgh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.R. Dunn,14,1978,1991,993,23080,2030,4443,1,20,972,1341,1729,4371,1631,1316,252,815,2072,5033,.457,,.725,23.2,5.1,4.4,1.6,1.3,0.3,"Feb 1, 1955",Birmingham
Jim Farmer,5,1988,1994,136,1454,275,643,22,78,143,196,77,186,111,42,4,118,164,715,.428,.282,.730,10.7,5.3,1.4,0.8,0.3,0.0,"Sep 23, 1964",Dothan
Trent Forrest,4,2021,2024,151,1758,167,376,12,65,72,87,50,231,281,57,15,104,107,418,.444,.185,.828,11.6,2.8,1.5,1.9,0.4,0.1,"Jun 12, 1998",Dothan
Rod Foster,3,1984,1986,207,3446,631,1434,72,242,228,297,75,258,479,137,10,286,441,1562,.440,.298,.768,16.6,7.5,1.2,2.3,0.7,0.0,"Oct 10, 1960",Birmingham
Mickell Gladness,1,2012,2012,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,.424,,.500,9.7,2.2,2.2,0.2,0.2,0.8,"Jul 26, 1986",Birmingham
Orlando Graham,1,1989,1989,7,22,3,10,0,0,2,4,8,11,0,0,0,2,6,8,.300,,.500,3.1,1.1,1.6,0.0,0.0,0.0,"May 5, 1965",Montgomery
Travis Grant,4,1973,1976,201,4309,1183,2257,2,6,399,492,284,819,211,106,51,261,396,2767,.524,,.811,21.4,13.8,4.1,1.0,0.6,0.3,"Jan 1, 1950",Clayton
Wyndol Gray,2,1947,1948,67,,145,513,,,73,128,,,50,,,,121,363,.283,,.570,,5.4,,0.7,,,"Mar 20, 1922",Hanceville
JaMychal Green,9,2015,2023,544,10933,1579,3311,430,1170,620,791,891,2986,496,298,226,570,1389,4208,.477,.368,.784,20.1,7.7,5.5,0.9,0.5,0.4,"Jun 21, 1990",Montgomery
Lamar Green,6,1970,1975,411,7304,893,2078,0,0,347,526,199,2550,310,49,68,60,1041,2133,.430,,.660,17.8,5.2,6.2,0.8,0.4,0.5,"Mar 22, 1947",Birmingham
Donta Hall,2,2020,2021,22,312,40,57,0,0,32,52,38,100,15,8,16,13,41,112,.702,,.615,14.2,5.1,4.5,0.7,0.4,0.7,"Aug 7, 1997",Luverne
Darrin Hancock,3,1995,1997,133,1395,196,370,2,6,73,126,58,169,89,56,10,97,157,467,.530,.333,.579,10.5,3.5,1.3,0.7,0.4,0.1,"Nov 3, 1971",Birmingham
Cecil Hankins,2,1947,1948,80,,140,507,,,114,185,,,22,,,,77,394,.276,,.616,,4.9,,0.3,,,"Jan 6, 1922",Covin
James Hardy,4,1979,1982,249,5379,611,1269,1,3,187,267,437,1312,315,178,235,299,590,1410,.481,,.700,21.6,5.7,5.3,1.3,0.7,0.9,"Dec 1, 1956",Knoxville
Johnny High,4,1980,1984,274,4538,508,1168,4,38,376,607,219,617,525,325,86,455,712,1396,.435,.105,.619,16.6,5.1,2.3,1.9,1.2,0.3,"Apr 25, 1957",Birmingham
Cedrick Hordges,2,1981,1982,145,2971,425,894,3,16,246,385,239,853,169,59,38,231,456,1099,.475,.188,.639,20.5,7.6,5.9,1.2,0.4,0.3,"Jan 8, 1957",Montgomery
Robert Horry,16,1993,2008,1107,27069,2820,6643,795,2329,1280,1762,1644,5269,2343,1158,1035,1378,2680,7715,.425,.341,.726,24.5,7.0,4.8,2.1,1.0,0.9,"Aug 25, 1970",Andalusia
Elvin Ivory,1,1969,1969,20,188,38,87,1,4,11,17,34,66,9,,,14,38,88,.437,.250,.647,9.4,4.4,3.3,0.5,,,"Jul 2, 1948",Birmingham
Stanley Jackson,1,1994,1994,17,92,17,33,1,5,3,3,12,27,16,5,0,10,13,38,.515,.200,1.000,5.4,2.2,1.6,0.9,0.3,0.0,"Oct 10, 1970",Tuskegee
Henry James,7,1991,1998,212,2703,472,1139,152,402,196,242,106,318,87,48,18,134,306,1292,.414,.378,.810,12.8,6.1,1.5,0.4,0.2,0.1,"Jul 29, 1965",Centreville
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Jemison,1,2024,2024,25,573,75,136,0,0,21,25,64,134,27,12,28,34,69,171,.551,,.840,22.9,6.8,5.4,1.1,0.5,1.1,"Nov 28, 1999",Birmingham
Buck Johnson,7,1987,1993,505,11849,1922,3942,7,62,766,1038,623,1760,856,404,252,664,1403,4617,.488,.113,.738,23.5,9.1,3.5,1.7,0.8,0.5,"Jan 3, 1964",Birmingham
Ken Johnson,1,1986,1986,64,815,113,214,0,0,37,85,90,243,19,13,22,59,147,263,.528,,.435,12.7,4.1,3.8,0.3,0.2,0.3,"Nov 7, 1962",Tuskegee
Nate Johnston,1,1990,1990,21,87,18,48,1,4,9,13,13,23,1,3,8,6,11,46,.375,.250,.692,4.1,2.2,1.1,0.0,0.1,0.4,"Dec 18, 1966",Birmingham
Colby Jones,1,2024,2024,30,192,28,71,2,22,6,11,17,40,20,7,5,10,29,64,.394,.091,.545,6.4,2.1,1.3,0.7,0.2,0.2,"May 28, 2002",Birmingham
Edgar Jones,6,1981,1986,363,6960,1207,2384,16,61,827,1164,562,1745,331,220,455,563,1164,3257,.506,.262,.710,19.2,9.0,4.8,0.9,0.6,1.3,"Jun 17, 1956",Fort Rucker
Herbert Jones,3,2022,2024,220,6607,802,1665,227,609,397,482,269,837,528,338,164,281,670,2228,.482,.373,.824,30.0,10.1,3.8,2.4,1.5,0.7,"Oct 6, 1998",Tuscaloosa
Walter Jordan,1,1981,1981,30,207,29,75,0,0,10,17,23,42,11,11,5,17,35,68,.387,,.588,6.9,2.3,1.4,0.4,0.4,0.2,"Feb 19, 1956",Perry
Larry Kenon,10,1974,1983,752,24510,5476,11238,2,14,2000,2550,2303,6701,1672,952,247,1800,1723,12954,.487,,.784,32.6,17.2,8.9,2.2,1.3,0.3,"Dec 13, 1952",Birmingham
Warren Kidd,1,1994,1994,68,884,100,169,0,0,47,86,76,233,19,19,23,44,129,247,.592,,.547,13.0,3.6,3.4,0.3,0.3,0.3,"Sep 9, 1970",Harpersville
Stan Kimbrough,2,1990,1993,13,65,9,22,1,2,2,2,4,7,6,5,0,4,5,21,.409,.500,1.000,5.0,1.6,0.5,0.5,0.4,0.0,"Apr 24, 1966",Tuscaloosa
Reggie King,6,1980,1985,438,11345,1512,2940,0,3,874,1251,850,2707,691,365,147,653,1005,3898,.514,.000,.699,25.9,8.9,6.2,1.6,0.8,0.3,"Feb 14, 1957",Birmingham
Antonio Lang,6,1995,2000,143,1395,121,266,0,8,87,121,80,210,50,55,46,89,207,329,.455,.000,.719,9.8,2.3,1.5,0.3,0.4,0.3,"May 15, 1972",Mobile
James Lang,1,2007,2007,11,55,4,9,0,0,3,5,5,11,2,0,3,2,14,11,.444,,.600,5.0,1.0,1.0,0.2,0.0,0.3,"Oct 17, 1983",Mobile
Kira Lewis Jr.,4,2021,2024,131,1745,263,663,72,245,89,105,35,169,233,68,15,84,142,687,.397,.294,.848,13.3,5.2,1.3,1.8,0.5,0.1,"Apr 6, 2001",Meridianville
Josh Magette,2,2018,2020,26,254,20,61,9,26,9,10,3,25,62,11,2,14,20,58,.328,.346,.900,9.8,2.2,1.0,2.4,0.4,0.1,"Nov 28, 1989",Birmingham
Jeff Malone,13,1984,1996,905,29660,7099,14674,86,321,2947,3383,572,2364,2154,577,100,1538,1695,17231,.484,.268,.871,32.8,19.0,2.6,2.4,0.6,0.1,"Jun 28, 1961",Mobile
Keith McCord,1,1981,1981,2,9,2,4,0,0,0,0,1,2,1,0,0,2,0,4,.500,,,4.5,2.0,1.0,0.5,0.0,0.0,"Jun 22, 1957",Birmingham
K.J. McDaniels,3,2015,2017,148,2092,278,675,70,241,156,201,96,324,95,70,94,151,205,782,.412,.290,.776,14.1,5.3,2.2,0.6,0.5,0.6,"Feb 9, 1993",Mobile
George McGinnis*,11,1972,1982,842,28179,6381,13940,83,304,4164,6267,3143,9233,3089,1448,332,2763,3220,17009,.458,,.664,33.5,20.2,11.0,3.7,1.9,0.5,"Aug 12, 1950",Harpersville
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thales McReynolds,1,1966,1966,5,28,1,12,,,1,2,,6,1,,,,0,3,.083,,.500,5.6,0.6,1.2,0.2,,,"Jun 8, 1943",Birmingham
Joe Meriweather,10,1976,1985,670,14807,2170,4244,1,3,1098,1598,1285,3764,603,311,810,737,2253,5439,.511,,.687,22.1,8.1,5.6,0.9,0.5,1.2,"Oct 26, 1953",Phenix City
Larry Moffett,1,1978,1978,20,110,5,17,,,6,10,10,21,7,2,2,8,16,16,.294,,.600,5.5,0.8,1.1,0.4,0.1,0.1,"Nov 5, 1954",Mobile
Jamario Moon,5,2008,2012,286,6451,723,1568,177,538,184,229,201,1227,291,229,236,147,424,1807,.461,.329,.803,22.6,6.3,4.3,1.0,0.8,0.8,"Jun 13, 1980",Goodwater
