name,bbref_link,bbref_id,career_ppg,birth_location,birth_country,birth_state,birth_city,start_year,end_year,high_school_state,high_school_city,high_school_name,all_star_appearances,Location,Latitude,Longitude
Dominique Wilkins,/players/w/wilkido01.html,wilkido01,24.8,France,FR,,Paris,1983,1999,North Carolina,Washington,Washington,9
Guerschon Yabusele,/players/y/yabusgu01.html,yabusgu01,2.3,France,FR,,Dreux,2018,2019,,,,0
Damien Inglis,/players/i/inglida01.html,inglida01,1.8,French Guiana,GF,,Cayenne,2016,2016,,,,0
Kevin Séraphin,/players/s/serapke01.html,serapke01,5.9,French Guiana,GF,,Cayenne,2011,2017,,,,0
Stéphane Lasme,/players/l/lasmest01.html,lasmest01,5.2,Gabon,GA,,Port-Gentil,2008,2008,,,,0
Chris Silva,/players/s/silvach01.html,silvach01,2.9,Gabon,GA,,Libreville,2020,2020,New Jersey,Roselle,Roselle Catholic HS,0
Goga Bitadze,/players/b/bitadgo01.html,bitadgo01,3.1,Georgia,GE,,Sagarejo,2020,2020,,,,0
Zaza Pachulia,/players/p/pachuza01.html,pachuza01,6.8,Georgia,GE,,Tbilisi,2004,2019,,,,0
Tornike Shengelia,/players/s/shengto01.html,shengto01,1.3,Georgia,GE,,Tbilisi,2013,2014,,,,0
Vladimir Stepania,/players/s/stepavl01.html,stepavl01,4.1,Georgia,GE,,N/A,1999,2004,,,,0
Jake Tsakalidis,/players/t/tsakaja01.html,tsakaja01,4.8,Georgia,GE,,Rustavi,2001,2007,,,,0
Nikoloz Tskitishvili,/players/t/tskitni01.html,tskitni01,2.9,Georgia,GE,,Tbilisi,2003,2006,,,,0
Dalibor Bagarić,/players/b/bagarda01.html,bagarda01,2.6,Germany,DE,,Munich,2001,2003,,,,0
Uwe Blab,/players/b/blabuw01.html,blabuw01,2.1,Germany,DE,,Munich,1986,1990,Illinois,Effingham,Effingham,0
Isaac Bonga,/players/b/bongais01.html,bongais01,3.6,Germany,DE,,Neuwied,2019,2020,,,,0
Carlos Boozer,/players/b/boozeca01.html,boozeca01,16.2,Germany,DE,,Aschaffenburg,2003,2015,Alaska,Juneau,Juneau-Douglas,2
Shawn Bradley,/players/b/bradlsh01.html,bradlsh01,8.1,Germany,DE,,Landstuhl,1994,2005,Utah,Castle Dale,Emery County,0
John Brown,/players/b/brownjo01.html,brownjo01,7.4,Germany,DE,,Frankfurt,1974,1980,Missouri,Dixon,Dixon,0
Kenton Edelin,/players/e/edelike01.html,edelike01,1.1,Germany,DE,,Heidelburg,1985,1985,Virginia,Alexandria,Bayfield,0
Jo Jo English,/players/e/englijo01.html,englijo01,3.6,Germany,DE,,Frankfurt,1993,1995,South Carolina,Columbia,Lower Richland,0
Frido Frey,/players/f/freyfr01.html,freyfr01,3.8,Germany,DE,,N/A,1947,1947,New York,Brooklyn,New Utrecht,0
Donté Greene,/players/g/greendo01.html,greendo01,6.1,Germany,DE,,Munich,2009,2012,Maryland,Towson,Towson Catholic,0
Elias Harris,/players/h/harriel01.html,harriel01,0.0,Germany,DE,,Speyer,2014,2014,,,,0
Charlie Hoefer,/players/h/hoefech01.html,hoefech01,5.6,Germany,DE,,Frankfort,1947,1948,New York,Newtown,Newtown,0
Maxi Kleber,/players/k/klebima01.html,klebima01,7.1,Germany,DE,,Wurzburg,2018,2020,,,,0
